,artist_name,song_names,song_popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
7,Maluma,El Préstamo,76,0.205,0.74,219600,0.74,0,5,0.107,-3.647,0,0.0686,93.95,4,0.717
8,Maluma,Marinero,72,0.683,0.58,189133,0.491,0,7,0.122,-5.156,1,0.0473,83.81,4,0.843
9,Maluma,Borro Cassette,72,0.132,0.73,207307,0.701,0,5,0.151,-5.885,0,0.106,175.95,4,0.785
0,Chris Brown,Undecided,86,0.172,0.441,187298,0.527,0,3,0.233,-5.318,1,0.0966,96.37,4,0.589
1,Chris Brown,Freaky Friday (feat. Chris Brown),81,0.147,0.755,216632,0.599,0,8,0.109,-5.042,1,0.224,133.123,4,0.755
2,Chris Brown,Ayo,74,0.0399,0.823,225227,0.563,0,6,0.0851,-5.095,1,0.0443,98.031,4,0.682
3,Chris Brown,Stranger Things,73,0.443,0.867,219733,0.663,0,10,0.117,-5.838,0,0.178,121.978,4,0.481
4,Chris Brown,Loyal,73,0.0228,0.845,264947,0.506,1.03e-06,1,0.0879,-5.971,1,0.0409,99.051,4,0.647
5,Chris Brown,Fuck It Off (feat. Chris Brown),71,0.0728,0.801,147600,0.578,0,1,0.185,-7.148,1,0.201,100.032,4,0.126
6,Chris Brown,Five More Hours - Deorro x Chris Brown,67,0.0288,0.699,211975,0.883,0,5,0.817,-3.226,0,0.219,127.961,4,0.499
7,Chris Brown,I Don't Die,70,0.099,0.743,224735,0.876,0,1,0.119,-4.326,1,0.301,149.041,4,0.574
8,Chris Brown,Questions,62,0.00543,0.614,129478,0.598,0,10,0.1,-6.335,0,0.0561,105.803,4,0.565
9,Chris Brown,Just Let Go,69,0.373,0.645,266552,0.698,0,5,0.106,-6.525,0,0.376,139.867,4,0.5
0,J. Cole,MIDDLE CHILD,93,0.149,0.837,213594,0.364,0,8,0.271,-11.713,1,0.276,123.984,4,0.463
1,J. Cole,No Role Modelz,81,0.302,0.696,292987,0.521,0,10,0.0565,-8.465,0,0.332,100.0,4,0.458
2,J. Cole,KOD,78,0.21,0.831,191437,0.782,0,0,0.113,-6.274,1,0.15,141.869,4,0.199
3,J. Cole,Wet Dreamz,78,0.0752,0.504,239320,0.705,0,6,0.128,-8.205,0,0.364,175.483,4,0.584
4,J. Cole,Kevin’s Heart,77,0.482,0.829,200310,0.527,0,6,0.631,-6.644,0,0.367,116.078,4,0.473
5,J. Cole,Tribe (with J. Cole),76,0.241,0.755,238053,0.594,0,7,0.107,-5.906,1,0.216,178.929,4,0.237
6,J. Cole,G.O.M.D.,75,0.331,0.889,301133,0.393,8.67e-06,4,0.283,-10.821,0,0.267,128.065,4,0.304
7,J. Cole,Off Deez (with J. Cole),75,0.00207,0.836,213358,0.579,0,9,0.11,-6.164,1,0.243,85.486,4,0.431
8,J. Cole,Neighbors,74,0.358,0.894,216520,0.284,0.000487,11,0.11,-13.002,0,0.33,138.944,4,0.413
9,J. Cole,ATM,74,0.115,0.719,216727,0.497,0,8,0.0898,-7.661,1,0.681,81.651,4,0.345
0,Juice WRLD,Lucid Dreams,90,0.349,0.511,239836,0.566,0,6,0.34,-7.23,0,0.2,83.903,4,0.218
1,Juice WRLD,Armed And Dangerous,87,0.186,0.736,169999,0.67,0,10,0.114,-6.702,1,0.311,130.032,4,0.845
2,Juice WRLD,Fine China,84,0.0484,0.656,141587,0.542,0,7,0.126,-7.358,1,0.323,166.111,4,0.551
3,Juice WRLD,All Girls Are The Same,83,0.0769,0.671,165820,0.529,0.000335,0,0.0856,-7.226,1,0.307,161.989,4,0.203
4,Juice WRLD,Lean Wit Me,82,0.0414,0.665,175755,0.651,0,1,0.0896,-5.515,1,0.156,163.935,4,0.237
5,Juice WRLD,Roses (with Juice WRLD feat. Brendon Urie),79,0.168,0.612,223543,0.601,0,8,0.117,-7.089,1,0.164,147.018,4,0.525
6,Juice WRLD,Hide (feat. Seezyn),81,0.0622,0.715,205800,0.639,0,5,0.157,-5.017,0,0.0752,149.996,4,0.151
7,Juice WRLD,Legends,80,0.115,0.594,191840,0.798,0,4,0.143,-5.244,1,0.0844,142.049,4,0.381
8,Juice WRLD,Wasted (feat. Lil Uzi Vert),80,0.0381,0.742,258475,0.579,0,0,0.0952,-5.024,1,0.202,144.994,4,0.502
9,Juice WRLD,Black & White,79,0.0802,0.776,186945,0.736,0,7,0.159,-4.612,1,0.247,147.946,4,0.233
0,Kygo,Happy Now,86,0.374,0.693,211362,0.575,0,9,0.252,-6.998,1,0.0801,117.999,4,0.492
1,Kygo,Born To Be Yours,70,0.3,0.688,193321,0.688,0,3,0.0982,-5.84,1,0.0357,114.011,4,0.451
2,Kygo,Remind Me to Forget,73,0.158,0.689,217293,0.505,0,0,0.138,-6.389,1,0.0933,99.017,4,0.312
3,Kygo,It Ain’t Me (with Selena Gomez),69,0.119,0.64,220781,0.533,0,0,0.0864,-6.596,1,0.0706,99.968,4,0.515
4,Kygo,Stargazing,77,0.152,0.677,236853,0.497,0,5,0.0911,-5.763,1,0.0809,99.137,4,0.419
5,Kygo,Firestone (feat. Conrad Sewell),75,0.408,0.486,273684,0.652,6.63e-05,11,0.077,-7.226,0,0.052,113.055,4,0.391
6,Kygo,Stole the Show,74,0.155,0.679,222801,0.662,0,8,0.152,-6.069,0,0.174,99.879,4,0.438
7,Kygo,First Time,73,0.197,0.633,193511,0.592,0,0,0.099,-7.245,0,0.112,90.066,4,0.679
8,Kygo,Happy Now - R3HAB Remix,69,0.0173,0.623,189268,0.84,0,9,0.363,-5.446,1,0.123,123.068,4,0.539
9,Kygo,Stranger Things (feat. OneRepublic),69,0.234,0.604,221440,0.661,0,0,0.0951,-5.914,1,0.0375,107.016,4,0.506
0,Logic,Keanu Reeves,86,0.0591,0.71,225987,0.888,0,2,0.134,-6.457,1,0.235,170.193,4,0.816
1,Logic,1-800-273-8255,82,0.57,0.62,250173,0.574,0,5,0.19,-7.788,0,0.0479,100.021,4,0.352
2,Logic,Everyday,81,0.041,0.67,204747,0.752,0,1,0.0749,-4.146,1,0.0374,149.961,4,0.442
3,Logic,44 More,77,0.0635,0.829,188600,0.589,0,1,0.113,-7.055,1,0.202,139.971,4,0.233
4,Logic,Everybody,72,0.158,0.885,162347,0.94,0,1,0.0675,-5.908,1,0.0909,110.005,4,0.77
5,Logic,ICONIC (ft. Jaden Smith),69,0.00606,0.39,298133,0.779,0,1,0.291,-5.612,1,0.243,175.89,4,0.213
6,Logic,Flexicution,68,0.0581,0.772,218947,0.701,0.00159,0,0.106,-6.605,0,0.0724,159.954,4,0.69
7,Logic,Midnight,68,0.09,0.566,241427,0.586,0,9,0.0976,-7.444,0,0.131,95.032,4,0.273
8,Logic,"Wu Tang Forever (ft. Ghostface Killah, Raekwon, RZA, Method Man, Inspectah Deck, Cappadonna, Jackpot Scotty Wotty, U-God, Masta Killa, GZA)",67,0.146,0.703,487960,0.807,0,1,0.379,-4.936,1,0.315,90.933,4,0.768
9,Logic,Ballin,67,0.0475,0.737,166080,0.854,0,3,0.0905,-6.414,0,0.221,150.621,4,0.65
0,Lil Uzi Vert,XO TOUR Llif3,85,0.00264,0.732,182707,0.75,0,11,0.109,-6.366,0,0.231,155.096,4,0.401
1,Lil Uzi Vert,New Patek,80,0.0367,0.85,343099,0.785,0,8,0.155,-4.963,0,0.345,145.063,4,0.718
2,Lil Uzi Vert,The Way Life Goes (feat. Oh Wonder),79,0.617,0.703,221747,0.757,0,1,0.106,-3.612,1,0.05,82.008,4,0.696
3,Lil Uzi Vert,Money Longer,77,0.0541,0.795,198944,0.568,0,5,0.108,-7.817,0,0.142,136.173,4,0.478
4,Lil Uzi Vert,Dark Queen,74,0.222,0.747,173419,0.606,0,4,0.281,-5.286,1,0.172,155.055,4,0.2
5,Lil Uzi Vert,Erase Your Social,73,0.694,0.705,199993,0.609,0,3,0.234,-5.728,1,0.0729,140.058,4,0.718
6,Lil Uzi Vert,Sauce It Up,73,0.0715,0.813,207039,0.528,0,6,0.125,-6.305,0,0.313,79.532,4,0.131
7,Lil Uzi Vert,20 Min,73,0.109,0.773,220587,0.75,0,8,0.174,-4.009,0,0.117,123.426,4,0.783
8,Lil Uzi Vert,You Was Right,72,0.069,0.843,163944,0.359,0,0,0.12,-7.417,1,0.461,81.987,4,0.156
