,artist_name,song_popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
20,Sam Smith,80.1,0.55149,0.5841000000000001,196441.3,0.43499999999999994,1.1597999999999998e-05,4.7,0.17369000000000004,-7.7095,0.8,0.04643,111.9518,4.0,0.3724
21,Maluma,79.1,0.25631,0.7151,209354.6,0.7451,1.944e-05,5.3,0.21011999999999995,-4.748399999999999,0.5,0.15309,145.2659,4.0,0.7761000000000001
22,Chris Brown,72.6,0.140373,0.7233,209417.7,0.6490999999999998,1.0300000000000001e-07,5.0,0.19590000000000002,-5.4824,0.6,0.17368999999999998,117.12569999999998,4.0,0.5418
23,J. Cole,78.1,0.226527,0.7790000000000001,232343.9,0.5246,4.9567e-05,6.9,0.18993000000000004,-8.485499999999998,0.5,0.3226,127.0489,4.0,0.39069999999999994
24,Juice WRLD,82.5,0.11652000000000003,0.6678,195960.0,0.6311,3.35e-05,4.8,0.14264000000000002,-6.1017,0.8,0.20695999999999998,143.7973,4.0,0.38459999999999994
25,Kygo,73.5,0.21143,0.6412000000000001,218031.4,0.6205,6.63e-06,4.5,0.14518,-6.348599999999999,0.7,0.08591,106.32160000000002,4.0,0.4742
26,Logic,73.7,0.12392600000000001,0.6882,244440.1,0.7470000000000001,0.00015900000000000002,2.4,0.15435000000000001,-6.2365,0.6,0.15956,134.25809999999998,4.0,0.5207
27,Lil Uzi Vert,75.8,0.19131399999999998,0.7666999999999998,212888.4,0.6271,0.0,5.0,0.17909999999999998,-5.671900000000001,0.4,0.19455,117.69320000000002,4.0,0.4532999999999999
28,G-Eazy,71.5,0.05118150000000001,0.7101000000000001,219159.1,0.6759999999999999,4.27e-07,4.8,0.1437,-5.892999999999999,0.7,0.21303999999999998,136.803,4.0,0.47859999999999997
29,Martin Garrix,74.6,0.14813899999999997,0.565,204975.5,0.6426,0.0031555800000000003,3.4,0.18428,-6.742900000000001,0.0,0.04284,128.3943,4.0,0.23610000000000003
30,Avicii,73.5,0.067325,0.5811999999999999,206301.0,0.7927,0.09241594,4.1,0.14585,-4.797599999999999,0.6,0.04646000000000001,125.4144,4.0,0.44140000000000007
31,Lil Wayne,75.4,0.13805,0.6931,237981.1,0.7005,0.00020163,3.9,0.20713000000000004,-5.6082,0.6,0.22988,128.43290000000002,4.0,0.5739
32,6ix9ine,82.2,0.156834,0.7659,161595.4,0.7112,9.77e-07,4.0,0.1514,-4.9784999999999995,0.4,0.21867,115.4117,3.9,0.5697
33,Nicky Jam,75.9,0.177,0.6925,211287.6,0.7311,0.000112442,7.5,0.12693999999999997,-4.763800000000001,0.7,0.07407,146.80089999999998,4.0,0.6073
34,Justin Bieber,75.0,0.33089199999999996,0.633,213458.8,0.6567000000000001,8.98e-05,3.2,0.1837,-6.5495,0.4,0.14558,115.69059999999999,4.1,0.5731999999999999
35,Kodak Black,78.9,0.170481,0.7727,205882.7,0.6045,1.6340000000000003e-05,6.7,0.16154000000000002,-6.097499999999999,0.2,0.15543,135.3937,4.0,0.485
36,Jason Derulo,72.0,0.052536000000000006,0.7284999999999999,196930.2,0.7678,0.0,3.8,0.14508000000000001,-4.3483,0.4,0.08655,109.6338,4.0,0.6397
37,Metro Boomin,77.3,0.32886099999999996,0.7933,215869.3,0.4018999999999999,0.00020912,5.1,0.1955,-8.845200000000002,0.4,0.23680000000000004,115.047,4.0,0.30427000000000004
38,XXXTENTACION,86.7,0.37951999999999997,0.7619999999999999,143202.9,0.5266,0.096017959,5.9,0.13824,-6.485199999999999,0.2,0.08515999999999999,119.2088,4.0,0.44630000000000003
39,Rae Sremmurd,73.1,0.12484920000000002,0.7791,237937.3,0.595,0.000121827,3.1,0.14681000000000002,-6.3231,0.6,0.09522,144.1893,4.0,0.28533
40,Charlie Puth,70.8,0.37529999999999997,0.7480999999999999,199801.8,0.5969,3.02e-06,3.6,0.13198000000000001,-6.0024,0.3,0.09315,109.8421,3.9,0.5553
41,A$AP Rocky,73.5,0.16239,0.6681000000000001,202778.0,0.6125,0.021991601000000003,4.3,0.18361999999999998,-7.860699999999999,0.7,0.22113,126.0907,4.1,0.43902
42,Sebastian Yatra,76.7,0.27743999999999996,0.7058,203405.0,0.6658999999999999,0.0,5.0,0.18135000000000004,-5.8759999999999994,0.8,0.06503,123.39160000000001,4.0,0.6843
43,Justin Timberlake,70.5,0.18054,0.7505000000000001,306457.4,0.6693,0.00011933899999999999,6.0,0.18986000000000003,-5.9946,0.4,0.10717000000000002,99.0255,4.0,0.6705000000000001
44,Michael Jackson,74.0,0.16871,0.8435,266361.5,0.7485,0.054571787,6.8,0.16321000000000002,-6.3516,0.5,0.06316000000000001,117.7271,4.0,0.7297
45,21 Savage,79.3,0.09135540000000002,0.8503000000000001,216774.3,0.5456000000000001,0.00023673599999999998,3.7,0.22441,-7.280199999999999,0.7,0.22234000000000004,123.0174,4.0,0.3054
46,Wiz Khalifa,71.0,0.13753699999999996,0.7221000000000001,209697.7,0.6315999999999999,3.6599999999999997e-07,5.3,0.20698000000000003,-6.1743999999999994,0.4,0.12402000000000002,134.3634,4.0,0.4378
47,Zedd,72.8,0.20669700000000005,0.6239,213282.2,0.7393,0.000353051,5.6,0.12323999999999999,-4.3727,0.5,0.07221,110.92550000000001,3.9,0.4413
48,Ty Dolla $ign,73.7,0.13471,0.7179999999999999,208402.5,0.5931,1.616e-05,4.8,0.19024,-6.4084,0.5,0.11633,111.65120000000002,4.0,0.4436
49,Luis Fonsi,67.9,0.24208,0.6988000000000001,204692.0,0.758,1.05e-06,3.5,0.15088,-4.7898,0.6,0.09172,119.0835,3.9,0.6646000000000001
